mobile_subscriber_id,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
264599,0.0442,0.0319,0.0208,0.0114,0.0214,0.1593
288403,0.6739,1.3506,0.6530,0.1408,0.0868,0.4175
2908205,5.9680,6.8283,6.9179,10.1574,11.4956,12.5552
200271,1.2910,0.4672,2.5997,3.7528,4.3874,5.5773
224075,0.1811,0.1588,0.2172,0.1939,0.3217,0.4956
247381,0.1158,0.0104,0.2313,0.2135,0.0028,0.0842
254420,17.1560,5.2208,3.3981,12.6924,11.3649,7.3434
268529,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
278224,2.0167,NULL,NULL,NULL,NULL,NULL
2901819,0.0007,0.0006,0.0007,0.0006,0.0007,0.0007
2905649,0.1064,0.1314,0.1566,0.1297,0.1262,0.1352
2906147,3.4799,0.7012,1.0918,4.6937,1.6105,1.0096
2929453,NULL,NULL,NULL,NULL,0.4024,1.8276
2936492,NULL,NULL,NULL,NULL,NULL,NULL
223577,NULL,NULL,NULL,NULL,NULL,NULL
223185,0.0007,0.0008,0.0007,0.0010,0.0022,0.0020
244825,0.0441,1.3266,4.1797,1.0870,0.6329,1.2446
255894,0.0065,0.0146,0.0081,0.0074,0.0814,0.0334
256976,7.2937,20.5786,16.0077,16.7638,4.4498,14.0632
267547,0.0011,0.0010,0.0011,0.0007,0.0008,0.0007
268629,0.0010,0.0013,0.0019,0.0013,0.0010,0.0010
2934720,NULL,NULL,NULL,NULL,NULL,0.1719
2939048,NULL,NULL,NULL,NULL,NULL,NULL
289777,0.0851,0.1931,0.0708,0.2346,0.4110,0.1456
2904175,0.3899,0.9114,0.9595,0.9276,2.9394,1.5346
2911998,1.6408,1.1114,1.5724,1.3090,1.1090,1.6491
2915244,0.0321,0.1282,0.1863,0.2704,0.1013,NULL
2927979,NULL,NULL,0.1824,0.2463,0.2140,0.2038
2926897,NULL,NULL,NULL,0.6272,1.6734,0.4098
270401,3.6301,3.5470,4.4701,15.6232,10.8573,4.4327
288795,0.0134,0.0064,NULL,NULL,NULL,NULL
2916718,0.9161,1.7155,0.0919,0.1431,5.9122,0.0141
2917800,6.3832,18.8950,19.5625,27.6686,7.6835,24.2536
2926505,NULL,4.0437,0.4670,0.6616,0.6961,0.9608
2925423,NULL,NULL,NULL,0.0090,0.0129,0.1126
2913472,NULL,NULL,NULL,NULL,NULL,NULL
230962,5.7148,3.4985,4.9056,3.4193,5.0283,6.7352
238124,6.5511,5.4945,5.0773,3.0741,4.2639,NULL
253444,0.1263,0.0029,0.0044,0.0071,0.0180,0.0388
270756,1.3051,1.0875,1.6316,1.1910,0.8374,1.0554
2900382,8.3888,6.2965,5.4800,9.5438,8.3720,9.1446
2907544,0.4031,0.6704,0.3111,0.2726,0.3274,0.0242
2907876,11.3380,3.9369,12.5469,9.9585,4.7399,12.0379
2935931,NULL,NULL,NULL,NULL,NULL,NULL
205183,32.6172,12.0143,24.1255,24.0300,24.3300,29.0266
225034,1.0466,1.1555,1.2319,1.7939,4.0046,3.6120
242014,1.3862,1.4810,1.2304,1.6489,1.7363,1.7437
287759,0.4073,0.3468,0.3603,0.5348,0.4767,0.3811
2903608,1.3461,1.3636,0.3805,0.8704,0.4446,0.5774
2918928,0.0039,NULL,NULL,NULL,NULL,NULL
2900737,NULL,NULL,NULL,NULL,NULL,NULL
224015,1.0788,0.9147,0.8934,2.0087,1.4835,1.4191
256647,2.4965,3.5692,2.2389,2.9183,2.1024,2.3173
273458,1.4044,1.2563,1.5836,1.2747,1.3608,1.2975
2897680,0.0016,0.0012,0.0044,0.0122,0.1081,0.1056
2926067,0.7564,0.8635,0.4624,0.1248,0.7582,0.8731
2927395,0.0001,0.0103,0.0071,NULL,0.0003,0.0233
288947,NULL,0.0326,NULL,NULL,NULL,NULL
2921985,NULL,NULL,NULL,0.0000,0.0006,0.0025
2942878,NULL,NULL,NULL,NULL,NULL,NULL
219578,2.5171,4.0029,3.1263,13.7899,3.3569,3.6427
257620,13.2584,20.0508,21.6931,12.1015,11.1063,30.2880
267530,0.8503,0.7928,0.1292,0.7005,0.3151,0.3164
272153,0.0009,0.0009,NULL,NULL,0.0006,0.0009
277895,3.0625,8.1335,4.4163,4.4394,4.3638,2.1031
284510,0.0205,0.0126,0.0259,0.0199,0.0406,0.3373
2931995,NULL,NULL,NULL,0.0062,0.0153,0.0148
2909273,0.8401,2.8247,0.6940,1.1180,1.3371,2.0675
2910601,0.1616,0.1493,0.1873,0.2001,0.2304,0.3294
2914683,13.0135,6.1227,18.6334,7.1525,10.1031,12.4601
2925048,0.0009,NULL,NULL,0.0613,0.0003,NULL
2925921,4.0925,3.3862,NULL,NULL,NULL,NULL
245263,NULL,0.0286,0.0002,NULL,0.0011,0.0007
266680,0.7719,2.2676,0.1928,4.8643,1.1653,0.3361
2903800,0.1637,0.1269,0.1506,0.0786,0.1956,0.3041
2908045,3.2818,5.3593,0.2792,0.0969,0.1195,0.1078
2911620,NULL,0.0206,NULL,0.1514,0.0068,0.1545
2913286,NULL,1.3739,1.1224,1.9583,1.5309,2.7880
2930521,NULL,NULL,0.1828,0.2310,0.1804,0.0497
2930598,NULL,NULL,NULL,0.0437,3.2882,0.1336
2931849,NULL,NULL,NULL,0.5745,0.3308,0.2349
219292,4.4554,4.0478,6.7494,4.4291,10.6545,4.3136
238270,0.1193,0.0888,0.0580,0.2355,0.1379,0.5028
239598,0.4194,NULL,2.5494,1.8655,3.3726,1.3637
254918,0.3384,0.6303,1.0951,0.4681,0.5632,0.5250
2909350,3.6033,6.5548,6.3661,9.9623,7.4722,6.1421
2915184,0.1059,NULL,NULL,0.0937,0.1006,0.0000
253590,NULL,0.0057,0.7012,0.3764,0.1829,0.0052
2929293,NULL,4.7707,10.5046,5.0328,NULL,0.2342
2938988,NULL,NULL,NULL,NULL,NULL,NULL
280620,1.4784,1.8682,NULL,NULL,NULL,NULL
284702,0.5358,0.2881,0.0831,0.1241,0.0752,0.0877
2917740,0.0231,0.5876,3.4279,8.4516,0.3666,0.4501
2933060,NULL,NULL,NULL,NULL,NULL,0.0051
2940462,NULL,NULL,NULL,NULL,NULL,NULL
2917909,NULL,NULL,NULL,NULL,NULL,NULL
216707,0.4235,0.3073,0.6796,0.4055,0.3940,0.3713
236650,1.7290,1.0852,1.7652,1.7508,1.7741,1.5876
274692,0.2564,0.2532,0.4442,0.3156,0.5250,0.0444
280766,9.5477,6.4475,7.3446,14.7491,21.3699,22.7568
286176,0.0275,0.0252,0.0280,0.0275,0.0289,0.0252
2906402,0.3439,2.9383,2.5725,0.8343,0.8491,0.3125
2913017,0.2317,0.3303,0.1801,0.2563,0.2530,0.0588
2919214,1.9850,1.8134,2.5318,3.2886,2.8927,3.3633
2929124,NULL,0.1522,0.0092,NULL,NULL,0.0068
2939157,NULL,NULL,NULL,NULL,NULL,NULL
260600,0.1876,0.3491,0.0869,0.1200,1.1587,1.8698
282240,1.2581,4.0938,1.4504,2.2341,3.9855,2.3612
2913455,0.0001,2.7385,1.6106,1.3688,0.0003,NULL
2909127,NULL,5.7616,97.5794,1.1801,3.5495,0.1739
2926522,NULL,0.0305,0.5126,NULL,NULL,NULL
2930767,NULL,NULL,0.3832,0.2388,NULL,0.0994
258121,1.4126,2.0621,1.0891,0.6546,1.0811,1.3610
268154,0.4043,0.7821,0.3519,0.3406,0.3934,0.4332
2905274,0.0110,0.0001,0.0023,0.0001,0.0001,0.0002
260992,NULL,0.3271,0.0324,0.1081,0.0173,NULL
